CODE;CITY;COUNTRY;LAT;LON
SDZ;SCATSTA;UK;60.432;-1.298
BLE;BORLANGE;SWEDEN;60.422;15.515
N/A;DAGLI;NORWAY;60.417;8.514
N/A;NUMMELA;FINLAND;60.334;24.296
HEL;HELSINKI;FINLAND;60.32;24.956
BGO;BERGEN;NORWAY;60.293;5.218
HEM;HELSINKI;FINLAND;60.254;25.043
OSL;OSLO;NORWAY;60.194;11. Jan
YZW;TESLIN;CANADA;60.173;-132.743
N/A;TORSBY;SWEDEN;60.157;12.991
N/A;GIMO;SWEDEN;60.133;18.105
MHQ;MARIEHAMN;FINLAND;60.122;19.898
YQH;WATSON LAKE;CANADA;60.118;-128.822
YSM;FORT SMITH;CANADA;60.022;-111.96
N/A;HAGFORS;SWEDEN;60.02;13.579
N/A;KJELLER;NORWAY;59.969;11.036
GDX;MAGADAN;RUSSIA;59.91;150.717
N/A;UPPSALA;SWEDEN;59.897;17.588
FBU;OSLO;NORWAY;59.896;10.617
LSI;SUMBURGH;UK;59.879;-1.296
N/A;HANKO;FINLAND;59.849;23.083
LED;ST. PETERSBURG;RUSSIA;59.8;30.265
SRP;STORD;NORWAY;59.792;5.341
ILI;ILIAMNA;USA;59.754;-154.911
N/A;ARVIKA;SWEDEN;59.676;12.639
ARN;STOCKHOLM;SWEDEN;59.652;17.919
HOM;HOMER;USA;59.646;-151.476
VST;VASTERAS;SWEDEN;59.589;16.634
N/A;NOTODDEN;NORWAY;59.566;9.212
YAK;YAKUTAT;USA;59.503;-139.66
SGY;SKAGWAY;USA;59.46;-135.316
N/A;MIDDLETON ISLAND;USA;59.45;-146.309
N/A;STOCKHOLM;SWEDEN;59.419;17.891
TLL;TALLINN-ULEMISTE INTERNATIONAL;ESTONIA;59.413;24.833
N/A;ARBOGA;SWEDEN;59.386;15.924
N/A;RYGGE;NORWAY;59.379;10.786
N/A;BIG MOUNTAIN;USA;59.362;-155.257
BMA;STOCKHOLM;SWEDEN;59.354;17.941
N/A;ESKILSTUNA;SWEDEN;59.351;16.708
KSK;KARLSKOGA;SWEDEN;59.346;14.496
HAU;HAUGESUND;NORWAY;59.345;5.208
N/A;STRANGNAS;SWEDEN;59.314;17.109
N/A;ARMARI AIR FORCE BASE;ESTONIA;59.259;24.204
ORB;OREBRO;SWEDEN;59.224;15.038
TRF;TORP;NORWAY;59.187;10.259
SKE;SKIEN;NORWAY;59.185;9.567
N/A;STOCKHOLM;SWEDEN;59.181;17.912
DLG;DILLINGHAM;USA;59.045;-158.503
PML;PORT MOLLER;USA;59.011;-161.819
N/A;KARDLA;ESTONIA;58.991;22.831
KOI;KIRKWALL;SCOTLAND;58.958;-2.905
SVG;STAVANGER;NORWAY;58.877;5.638
YYE;FORT NELSON;CANADA;58.836;-122.597
N/A;BJORKVIK;SWEDEN;58.791;16.571
NYO;STOCKHOLM;SWEDEN;58.789;16.912
YPY;FORT CHIPEWYAN;CANADA;58.767;-111.117
YYQ;CHURCHILL;CANADA;58.739;-94.065
AKN;KING SALMON;USA;58.677;-156.649
EHM;CAPE NEWENHAM;USA;58.647;-162.061
YOJ;HIGH LEVEL;CANADA;58.621;-117.165
N/A;NORRKOEPING;SWEDEN;58.611;16.103
N/A;MOHOLM;SWEDEN;58.598;14.114
NRK;NORRKOEPING;SWEDEN;58.586;16.251
N/A;KARLSBORG;SWEDEN;58.514;14.507
N/A;RADA;SWEDEN;58.498;13.053
LDK;LIDKOPING;SWEDEN;58.465;13.174
WIC;WICK;UK;58.459;-3.093
KVB;SKOVDE;SWEDEN;58.456;13.973
N/A;SATENAS;SWEDEN;58.426;12.714
YDL;DEASE LAKE;CANADA;58.422;-130.032
N/A;PARNU;ESTONIA;58.419;24.473
N/A;HASSLOSA;SWEDEN;58.409;13.262
LPI;LINKOEPING;SWEDEN;58.406;15.68
N/A;LINKOEPING;SWEDEN;58.402;15.526
JNU;JUNEAU;USA;58.355;-134.576
THN;TROLLHATTAN;SWEDEN;58.318;12.345
N/A;TARTU-ULENURME;ESTONIA;58.307;26.69
N/A;KURESSAARE;ESTONIA;58.23;22.509
SYY;STORNOWAY;UK;58.214;-6.329
KRS;KRISTIANSAND;NORWAY;58.204;8.085
N/A;FALKOPING;SWEDEN;58.17;13.588
FAN;LISTA;NORWAY;58.1;6.625
YVP;QUUJJUAQ;CANADA;58.096;-68.427
PEE;PERM;RUSSIA;57.917;56.026
GSE;GOTHENBORG;SWEDEN;57.775;Nov 87
JKG;JOENKOEPING;SWEDEN;57.758;14.069
ADQ;KODIAK;USA;57.75;-152.494
LMO;LOSSIEMOUTH;UK;57.705;-3.339
GOT;GOTHENBORG;SWEDEN;57.663;Dez 28
VBY;VISBY;SWEDEN;57.663;18.346
INV;INVERNESS;UK;57.54;-4.05
HLF;HULTSFRED;SWEDEN;57.526;15.824
N/A;SINDAL;DENMARK;57.503;10.229
BEB;BENBECULA;UK;57.481;-7.363
OSK;OSKARSHAMN;SWEDEN;57.35;16.498
N/A;HAGSHULT;SWEDEN;57.292;14.137
N/A;LAESO;DENMARK;57.278;11.001
N/A;ANDERSTORP;SWEDEN;57.264;13.599
ABZ;ABERDEEN;UK;57.204;-2.2
SNP;ST. PAUL ISLAND;USA;57.167;-170.22
AAL;AALBORG;DENMARK;57.093;9.849
TED;THISTED;DENMARK;57.069;8.705
SIT;SITKA;USA;57.047;-135.361
N/A;LJUNGBY;SWEDEN;56.95;13.922
VXO;VAXJO;SWEDEN;56.929;14.728
YYL;LYNN LAKE;CANADA;56.864;-101.076
N/A;VESTHIMMERLAND;DENMARK;56.847;9.459
N/A;KOSTA;SWEDEN;56.844;15.452
KLD;TVER;RUSSIA;56.825;35.758
N/A;BYHOLMA;SWEDEN;56.785;13.602
SVX;SVERDLOVSK;RUSSIA;56.741;60.804
HAD;HALMSTAD;SWEDEN;56.691;Dez 82
KLR;KALKMAR;SWEDEN;56.685;16.288
YMM;FORT MCMURRAY;CANADA;56.653;-111.222
N/A;EMMABODA;SWEDEN;56.611;15.605
N/A;POINT BARROW;USA;56.578;-169.661
N/A;SKIVE;DENMARK;56.55;9.173
TRE;TIREE;UK;56.499;-6.869
DND;DUNDEE;UK;56.453;-3.026
N/A;LINDTORP;DENMARK;56.397;8.443
ADX;LEUCHARS;UK;56.373;-2.868
BTK;BRATSK;RUSSIA;56.371;101.699
YGX;GILLAM;CANADA;56.35;-94.7
AAR;AARHUS;DENMARK;56.304;10.619
KRP;KARUP;DENMARK;56.297;9.124
AGH;ANGELHOLM;SWEDEN;56.296;12.847
RNB;RONNEBY;SWEDEN;56.267;15.265
YXJ;FORT SAINT JOHN;CANADA;56.238;-120.74
YPE;PEACE RIVER;CANADA;56.227;-117.447
N/A;KNISLINGE;SWEDEN;56.184;14.132
STA;STAUNING;DENMARK;55.99;8.354
SVO;MOSCOW;RUSSIA;55.972;37.415
EDI;EDINBURGH;UK;55.95;-3.373
JLD;LANDSKRONA;SWEDEN;55.945;12.861
N/A;GRONHOLT;DENMARK;55.941;12.382
KID;KRISTIANSTAD;SWEDEN;55.922;14.085
GLA;GLASGOW;UK;55.872;-4.433
YVT;BUFFALO NARROWS;CANADA;55.842;-108.418
YTH;THOMPSON;CANADA;55.801;-97.864
N/A;VAERLOSE;DENMARK;55.767;12.343
YDQ;DAWSON CREEK;CANADA;55.742;-120.182
BLL;BILLUND;DENMARK;55.74;9.152
N/A;VANDEL;DENMARK;55.697;9.193
ILY;ISLAY;UK;55.682;-6.257
CPH;COPENHAGEN;DENMARK;55.618;12.656
KZN;KAZAN;RUSSIA;55.608;49.277
VKO;MOSCOW;RUSSIA;55.591;37.261
RKE;COPENHAGEN;DENMARK;55.586;12.131
MMX;MALMOE;SWEDEN;55.53;13.371
EBJ;ESBJERG;DENMARK;55.526;8.553
PIK;PRESTWICK;UK;55.508;-4.587
ODE;ODENSE;DENMARK;55.476;10.329
KRO;KURGAN;RUSSIA;55.475;65.415
N/A;KOLDING;DENMARK;55.436;9.331
KTN;KETCHIKAN;USA;55.356;-131.714
CEK;CHELYABINSK;RUSSIA;55.303;61.507
YZH;SLAVE LAKE;CANADA;55.293;-114.778
YGW;KUUJJUARARAPIK;CANADA;55.283;-77.767
KEJ;KEMOROVO;RUSSIA;55.27;86.107
SKS;SKRYDSTRUP;DENMARK;55.225;9.264
CDB;COLD BAY;USA;55.206;-162.724
YQU;GRANDE PRAIRIE;CANADA;55.18;-118.885
VTB;VITEBSK;RUSSIA;55.167;30.133
YVC;LA RONGE;CANADA;55.151;-105.262
RNN;RONNE;DENMARK;55.063;14.759
N/A;DONEGAL;IRELAND;55.044;-8.341
LDY;LONDONDERRY;NORTH IRELAND;55.043;-7.161
ANN;ANNETTE ISLAND;USA;55.042;-131.572
NCL;NEWCASTLE;ENGLAND;55.038;-1.692
OMS;OMSK;RUSSIA;54.967;73.31
SGD;SOENDERBORG;DENMARK;54.964;9.792
CAX;CARLISLE;ENGLAND;54.938;-2.809
GWT;WESTERLAND;GERMANY;54.913;Aug 34
KGD;KALININGRAD;RUSSIA;54.89;20.592
N/A;KRUSA-PADBORG;DENMARK;54.87;9.279
N/A;WEST FREUGH;UK;54.851;-4.948
YYD;SMITHERS;CANADA;54.825;-127.183
YKL;SCHEFFERVILLE;CANADA;54.805;-66.805
N/A;FLENSBURG;GERMANY;54.772;9.378
N/A;MARIBO;DENMARK;54.699;Nov 44
YFO;FLIN FLON;CANADA;54.678;-101.682
BFS;BELFAST;NORTH IRELAND;54.657;-6.216
N/A;EGGEBECK;GERMANY;54.625;9.341
BHD;BELFAST;NORTH IRELAND;54.618;-5.873
UFA;UFA;RUSSIA;54.557;55.874
MME;TEESSIDE;ENGLAND;54.509;-1.429
OSP;SLUPSK;POLAND;54.479;17.108
YXT;TERRACE;CANADA;54.466;-128.577
N/A;SCHLESWIG;GERMANY;54.459;9.516
YOD;COLD LAKE;CANADA;54.405;-110.279
ENK;ENNISKILLEN;ENGLAND;54.399;-7.652
KEL;KIEL;GERMANY;54.379;10.145
GDN;GDANSK;POLAND;54.377;18.466
N/A;BARTH;GERMANY;54.338;Dez 71
N/A;HOHN;GERMANY;54.312;9.538
N/A;LEEMING;ENGLAND;54.292;-1.535
YPR;PRINCE PUPERT;CANADA;54.286;-130.445
SXL;SLIGO;IRELAND;54.28;-8.599
N/A;RENDSBURG;GERMANY;54.221;9.601
N/A;TOPCLIFFE;UK;54.206;-1.382
YZU;WHITECOURT;CANADA;54.144;-115.787
N/A;DISHFORTH;ENGLAND;54.137;-1.42
BWF;BARROW ISLAND;ENGLAND;54.13;-3.256
YLJ;MEADOW LAKE;CANADA;54.125;-108.523
IOM;ISLE OF MAN;ENGLAND;54.083;-4.624
N/A;LINTON-ON-OUSE;ENGLAND;54.049;-1.252
N/A;KOSZALIN;POLAND;54.042;16.264
N/A;ITZEHOE;GERMANY;53.994;9.578
RLG;LAAGE;GERMANY;53.918;12.279
NOC;CONNAUGHT;IRELAND;53.91;-8.818
DUT;UNALASKA;USA;53.9;-166.543
YXS;PRINCE GEORGE;CANADA;53.889;-122.679
MSQ;MINSK 2;RUSSIA;53.882;28.031
N/A;HERINGSDORF;GERMANY;53.879;14.152
LBA;LEEDS;ENGLAND;53.866;-1.661
MHP;MINSK;RUSSIA;53.864;27.539
N/A;CHURCH FENTON;ENGLAND;53.834;-1.195
N/A;ANKLAM;GERMANY;53.833;13.669
LBC;LUEBECK;GERMANY;53.805;10.719
N/A;SHAPAJA;PERU;53.791;15.828
BLK;BLACKPOOL;ENGLAND;53.772;-3.029
N/A;NORDHOLZ;GERMANY;53.767;8.658
N/A;WARTON;UK;53.745;-2.883
ABA;ABAKAN;RUSSIA;53.74;91.385
N/A;BROUGH;ENGLAND;53.719;-0.566
NRD;NORDERNEY;GERMANY;53.707;Jul 23
YED;EDMONTON;CANADA;53.667;-113.467
HAM;HAMBURG;GERMANY;53.63;9.988
YGL;LA GRANDE RIVIERE;CANADA;53.625;-77.704
N/A;NEUBRANDENBURG;GERMANY;53.602;13.306
BMK;BORKUM;GERMANY;53.595;6.709
SZZ;SZCZECHIN;POLAND;53.585;14.902
N/A;WOODVALE;UK;53.581;-3.055
YET;EDSON;CANADA;53.579;-116.465
HUY;HUMBERSIDE;ENGLAND;53.574;-0.351
YXD;EDMONTON;CANADA;53.573;-113.521
N/A;SANDTOFT;UK;53.56;-0.858
N/A;WITTMUNDHAFEN;GERMANY;53.548;7.667
XFW;HAMBURG;GERMANY;53.535;9.835
N/A;JEVER;GERMANY;53.533;7.889
N/A;OKHA;RUSSIA;53.515;142.888
WVN;WILHELMSHAVEN;GERMANY;53.505;8.053
KBY;SAMARA;RUSSIA;53.505;50.164
BRV;BREMERHAVEN;GERMANY;53.503;8.573
SZW;PARCHIM;GERMANY;53.427;11.783
DUB;DUBLIN;IRELAND;53.421;-6.27
N/A;FOWLMERE;ENGLAND;53.394;-1.388
MQF;MAGNETIOGORSK;RUSSIA;53.393;58.76
N/A;SZCZECHIN;POLAND;53.392;14.634
EME;EMDEN;GERMANY;53.391;7.227
BAX;BARNAUL;RUSSIA;53.364;83.542
YVG;VERMILLION;CANADA;53.356;-110.824
MAN;MANCHESTER;ENGLAND;53.354;-2.275
N/A;WOODFORT;ENGLAND;53.338;-2.149
LPL;LIVERPOOL;ENGLAND;53.334;-2.85
YYR;GOOSE BAY;CANADA;53.319;-60.426
YEG;EDMONTON;CANADA;53.31;-113.58
YLL;LLOYDMINSTER;CANADA;53.309;-110.072
N/A;SCAMPTON;UK;53.307;-0.551
N/A;RECHLIN-LAERZ;GERMANY;53.306;12.753
N/A;CASEMENT;IRELAND;53.303;-6.443
GWY;GALWAY;IRELAND;53.301;-8.939
N/A;LEER;GERMANY;53.272;7.443
N/A;MONA;UK;53.258;-4.373
YZP;SANDSPIT;CANADA;53.254;-131.814
N/A;VALLEY;UK;53.248;-4.535
LWR;LEEUWARDEN;NETHERLANDS;53.229;5.761
YPA;PRINCE ALBERT;CANADA;53.214;-105.673
BZK;BRYANSK;RUSSIA;53.214;34.176
KTQ;KUSTANAY;RUSSIA;53.206;63.551
CEG;HAWARDEN;ENGLAND;53.178;-2.978
WTN;WADDINGTON;UK;53.166;-0.524
PKC;PETROPAVLOVSK;RUSSIA;53.166;158.453
LEM;LEMWERDER;GERMANY;53.143;8.623
N/A;DRACHTEN;NETHERLANDS;53.119;Jun 13
GRQ;GRONINGEN;NETHERLANDS;53.119;6.579
QCY;CONINGSBY;ENGLAND;53.093;-0.166
BRE;BREMEN;GERMANY;53.047;8.787
N/A;CRANWELL;ENGLAND;53.031;-0.481
YQZ;QUESNEL;CANADA;53.026;-122.51
N/A;BARKSTON HEATH;ENGLAND;52.962;-0.561
DHR;DE KOOY;NETHERLANDS;52.923;4.781
YWK;WABUSH;CANADA;52.922;-66.864
N/A;NOTTINGHAM;ENGLAND;52.92;-1.079
N/A;KYRITZ;GERMANY;52.919;12.425
N/A;FASSBERG;GERMANY;52.919;10.184
N/A;TERNHILL;UK;52.871;-2.533
EMA;EAST MIDLANDS;ENGLAND;52.831;-1.328
YHB;HUDSON BAY;CANADA;52.817;-102.311
N/A;LLANBEDR;ENGLAND;52.812;-4.123
N/A;SHAWBURY;UK;52.798;-2.668
YQW;NORTH BATTLEFORD;CANADA;52.769;-108.244
CLF;COLTISHALL;ENGLAND;52.755;1.357
N/A;COTTESMORE;ENGLAND;52.736;-0.649
SYA;SHEMYA;USA;52.712;174.114
SNN;SHANNON;IRELAND;52.702;-8.925
NWI;NORWICH;ENGLAND;52.676;1.283
KNF;MARHAM;UK;52.648;0.55
N/A;COSFORD;ENGLAND;52.64;-2.306
N/A;STENDAL;GERMANY;52.629;Nov 82
N/A;WITTERING;UK;52.613;-0.476
N/A;LEICESTER;ENGLAND;52.608;-1.032
ZCN;CELLE;GERMANY;52.591;10.022
N/A;DIEPHOLZ;GERMANY;52.585;8.341
N/A;STRAUSBERG;GERMANY;52.58;13.916
TXL;BERLIN;GERMANY;52.559;13.287
GME;GOMEL;RUSSIA;52.527;31.017
N/A;HALFPENNY GREEN;ENGLAND;52.517;-2.26
THF;BERLIN;GERMANY;52.473;13.404
N/A;PETERBOROUGH;ENGLAND;52.468;-0.251
HAJ;HANNOVER;GERMANY;52.461;9.685
N/A;LELYSTAD;NETHERLANDS;52.46;5.527
N/A;WUNSTORF;GERMANY;52.457;9.427
BHX;BIRMINGHAM;ENGLAND;52.454;-1.748
YRM;ROCKY MOUNTAIN HOUSE;CANADA;52.43;-114.904
POZ;POZNAN;POLAND;52.421;16.826
N/A;LAKENHEATH;ENGLAND;52.409;0.561
SXF;BERLIN;GERMANY;52.38;13.523
CVT;COVENTRY;ENGLAND;52.37;-1.48
MHZ;MILDENHALL;ENGLAND;52.361;0.488
N/A;WYTON;UK;52.357;-0.108
BEQ;HONINGTON;ENGLAND;52.343;0.773
N/A;HOPSTEN;GERMANY;52.339;7.541
BWE;BRAUNSCHWEIG;GERMANY;52.319;10.556
AMS;AMSTERDAM;NETHERLANDS;52.309;4.764
N/A;RHEINE-BRENTLANGE;GERMANY;52.291;7.387
