lat;lon;CODE;CITY;COUNTRY;AVG_TEMP;MONTH
65.66;-18.07;AEY;AKUREYRI;ICELAND;-0.67;Januar
-34.59;-68.4;AFA;SAN RAFAEL;ARGENTINA;23.64;Januar
-9.87;-56.11;AFL;ALTA FLORESTA;BRAZIL;26.65;Januar
38.73;30.6;AFY;AFYON;TURKEY;0.46;Januar
30.38;-9.55;AGA;AGADIR;MOROCCO;13.67;Januar
48.43;10.93;AGB;AUGSBURG;GERMANY;-0.09;Januar
44.18;0.59;AGF;AGEN;FRANCE;5.81;Januar
27.16;77.96;AGR;AGRA;INDIA;13.03;Januar
33.37;-81.96;AGS;BUSH FIELD;USA;8.02;Januar
21.71;-102.32;AGU;AGUASCALIENTES;MEXICO;14.55;Januar
9.55;-69.24;AGV;ACARIGUA;VENEZUELA;26.34;Januar
18.24;42.66;AHB;ABHA;SAUDI ARABIA;13.77;Januar
35.18;-3.84;AHU;AL HOCIEMA;MOROCCO;13;Januar
45.15;-89.11;AIG;YALINGA;CENTRAL AFRICAN REP.;-8;Januar
70.61;-159.86;AIN;FORT WAINWRIGHT;USA;-24.33;Januar
-18.83;-159.77;AIT;AITUTAKI;COOK ISLANDS;27.3;Januar
29.79;40.1;AJO;AL-JOUF;SAUDI ARABIA;10.09;Januar
-10.98;-37.07;AJU;ARACAJU;BRAZIL;27.26;Januar
24.18;23.31;AKF;KUFRA;LIBYA;14.08;Januar
-37.01;174.79;AKL;AUCKLAND;NEW ZEALAND;19.72;Januar
58.68;-156.65;AKN;KING SALMON;USA;-8.55;Januar
41.04;-81.47;AKR;AKRON;USA;-2.57;Januar
34.59;32.99;AKT;AKROTIRI;CYPRUS;12.92;Januar
50.25;57.2;AKX;AKTYUBINSK;RUSSIA;-12.45;Januar
20.13;92.87;AKY;SITTWE;MYANMAR;21.41;Januar
43.35;77.04;ALA;ALMA-ATA;KAZAKHSTAN;-4.6;Januar
38.28;-0.56;ALC;ALICANTE;SPAIN;11.68;Januar
69.98;23.37;ALF;ALTA;NORWAY;-8.27;Januar
36.69;3.22;ALG;ALGIER;ALGERIA;10.9;Januar
27.74;-98.03;ALI;ALICE;USA;14.37;Januar
-28.58;16.53;ALJ;ALEXANDER BAY;SOUTH AFRICA;19.65;Januar
36.18;37.22;ALP;ALEPPO;SYRIA;6.22;Januar
31.18;29.95;ALY;ALEXANDRIA;EGYPT;14;Januar
35.22;-101.71;AMA;AMARILLO;USA;3.21;Januar
23.08;72.63;AMD;AHMEDABAD;INDIA;20.08;Januar
-8.56;116.09;AMI;MATARAM;INDONESIA;27.25;Januar
31.72;35.99;AMM;AMMAN;JORDAN;7.77;Januar
-3.71;128.09;AMQ;AMBON;INDONESIA;27.62;Januar
52.31;4.76;AMS;AMSTERDAM;NETHERLANDS;4.1;Januar
33.59;-85.86;ANB;ANNISTON;USA;7.16;Januar
-23.44;-70.45;ANF;ANTOFAGASTA;CHILE;20.13;Januar
45.73;0.22;ANG;ANGOULEME;FRANCE;4.3;Januar
39.95;32.69;ANK;ANKARA;TURKEY;0.23;Januar
55.04;-131.57;ANN;ANNETTE ISLAND;USA;2.75;Januar
51.19;4.46;ANR;ANTWERP;BELGIUM;4.25;Januar
-13.71;-73.35;ANS;ANDAHUAYLAS;PERU;9.7;Januar
17.14;-61.79;ANU;ANTIGUA;LEEWARD ISLANDS;25.2;Januar
50.98;12.51;AOC;ALTENBURG;GERMANY;1.03;Januar
-29.69;-57.15;AOL;PASO DE LOS LIBRES;ARGENTINA;26.06;Januar
6.19;100.4;AOR;ALOR SETAR;MALAYSIA;27.47;Januar
-14.74;-68.41;APB;APOLO;BOLIVIA;22.16;Januar
39.47;-76.17;APG;ABERDEEN;USA;2.4;Januar
-15.11;39.28;APL;NAMPULA;MOZAMBIQUE;25.96;Januar
-13.83;-172.01;APW;FALEOLO;SAMOA;27.07;Januar
-21.81;-48.13;AQA;ARARACUARA;BRAZIL;22.99;Januar
28.34;46.13;AQI;HAFR AL-BATIN;SAUDI ARABIA;12.18;Januar
29.61;35.02;AQJ;AQABA;JORDAN;15.81;Januar
-16.34;-71.58;AQP;AREQUIPA;PERU;15.05;Januar
30.04;-91.88;ARA;LOUISIANA;USA;11.45;Januar
-18.35;-70.34;ARI;ARICA;CHILE;22.39;Januar
-3.37;36.63;ARK;ARUSHA;TANZANIA;21.43;Januar
59.65;17.92;ARN;STOCKHOLM;SWEDEN;-1.31;Januar
43.99;-76.02;ART;WATERTOWN;USA;-5.56;Januar
-21.14;-50.43;ARU;ARACATUBA;BRAZIL;25.93;Januar
46.18;21.26;ARW;ARAD;ROMANIA;0.25;Januar
37.99;58.36;ASB;ASHKHABAD;RUSSIA;3.73;Januar
46.28;48.01;ASF;ASTRAKHAN;RUSSIA;-3.56;Januar
28.43;129.71;ASJ;AMAMI;JAPAN;14.95;Januar
6.9;-5.37;ASK;YAMOUSSOUKRO;IVORY COAST;25.79;Januar
-23.81;133.9;ASP;ALICE SPRINGS;AUSTRALIA;29.74;Januar
-25.24;-57.52;ASU;ASUNCION;PARAGUAY;27.74;Januar
23.96;32.82;ASW;ASWAN;EGYPT;16.27;Januar
-1.21;-78.57;ATF;AMBATO;ECUADOR;16.03;Januar
-30.4;-56.51;ATI;ARTIGAS;URUGUAY;25.53;Januar
33.64;-84.43;ATL;ATLANTA;USA;6.56;Januar
-3.25;-52.25;ATM;ALTAMIRA;BRAZIL;26.98;Januar
20.51;-13.04;ATR;ATAR;MAURITANIA;20.75;Januar
12.5;-70.02;AUA;ORANJESTAD;ARUBA;27.12;Januar
7.07;-70.74;AUC;ARAUCA;COLOMBIA;27.52;Januar
24.43;54.65;AUH;ABU DHABI;UNITED ARAB EMIRATES;19.18;Januar
30.19;-97.67;AUS;AUSTIN;USA;10.28;Januar
-38.04;144.47;AVV;AVALON;AUSTRALIA;19.86;Januar
31.34;48.76;AWZ;AHWAZ;IRAN;12.85;Januar
18.21;-63.06;AXA;THE VALLEY;ANGUILLA ISL.;25.59;Januar
4.45;-75.77;AXM;ARMENIA;COLOMBIA;22.77;Januar
39.62;140.22;AXT;AKITA;JAPAN;0.28;Januar
-13.16;-74.2;AYP;AYACUCHO;PERU;18.17;Januar
36.9;30.79;AYT;ANTALYA;TURKEY;10.04;Januar
31.91;54.28;AZD;YAZD;IRAN;6.87;Januar
24.43;54.46;AZI;ABU DHABI;UNITED ARAB EMIRATES;19.33;Januar
27.84;-0.19;AZR;ADRAR;ALGERIA;12.97;Januar
39.14;-121.44;BAB;MARYSVILLE;USA;8.55;Januar
32.5;-93.66;BAD;SHREVEPORT;USA;9.17;Januar
16.38;120.62;BAG;BAGUIO;PHILIPPINES;17.53;Januar
26.27;50.63;BAH;BAHRAIN;BAHRAIN;17.53;Januar
40.47;50.05;BAK;BAKU;RUSSIA;4.87;Januar
37.93;41.12;BAL;BATMAN;TURKEY;2.69;Januar
10.89;-74.78;BAQ;BARRANQUILLA;COLOMBIA;27.03;Januar
-22.35;-49.05;BAU;BAURU;BRAZIL;25.02;Januar
53.36;83.54;BAX;BARNAUL;RUSSIA;-16.11;Januar
47.66;23.47;BAY;BAIA MARE;ROMANIA;-2.43;Januar
-45.92;-71.69;BBA;BALMACEDA;CHILE;12.35;Januar
20.24;85.82;BBI;BHUBANESWAR;INDIA;22.14;Januar
51.19;14.52;BBJ;BAUTZEN;GERMANY;0.48;Januar
-17.83;25.16;BBK;KASANE;BOTSWANA;25.47;Januar
51.32;-0.85;BBS;BLACKBUSHE;ENGLAND;5.29;Januar
4.22;15.79;BBT;BERBERATI;CENTRAL AFRICAN REP.;23.94;Januar
5.85;20.65;BBY;BAMBARI;CENTRAL AFRICAN REP.;25.22;Januar
46.52;26.91;BCM;BACAU;ROMANIA;-0.75;Januar
26.38;-80.11;BCT;BOCA RATON;USA;19.5;Januar
48.73;-94.61;BDE;BAUDETTE;USA;-12.64;Januar
-3.44;114.76;BDJ;BANJARMASIN;INDONESIA;26.9;Januar
41.94;-72.68;BDL;WINDSOR LOCKS;USA;-2.67;Januar
40.32;27.98;BDM;BANDIRMA;TURKEY;6.1;Januar
41.16;-73.13;BDR;STRATFORD;USA;-0.35;Januar
4.25;20.98;BDT;GBADOLITE;ZAIRE;25.24;Januar
57.48;-7.36;BEB;BENBECULA;UK;5.1;Januar
42.47;-71.29;BED;BEDFORD;USA;-2.17;Januar
-1.38;-48.48;BEL;BELEM;BRAZIL;26.4;Januar
52.34;0.77;BEQ;HONINGTON;ENGLAND;4.26;Januar
48.45;-4.42;BES;BREST;FRANCE;7.09;Januar
60.78;-161.84;BET;BETHEL;USA;-13.93;Januar
31.29;34.72;BEV;BEER-SHEBA;ISRAEL;11.95;Januar
-25.41;-49.23;BFH;CURITIBA;BRAZIL;21.44;Januar
47.53;-122.3;BFI;SEATTLE;USA;5.71;Januar
35.43;-119.06;BFL;BAKERSFIELD;USA;9.63;Januar
30.63;-88.07;BFM;MOBILE;USA;10.77;Januar
-29.09;26.3;BFN;BLOEMFONTEIN;SOUTH AFRICA;22.75;Januar
-21.01;31.58;BFO;CHIREDZI;ZIMBABWE;26.8;Januar
54.66;-6.22;BFS;BELFAST;NORTH IRELAND;4.75;Januar
7.13;-73.19;BGA;BUCARAMANGA;COLOMBIA;21.79;Januar
41.87;-6.71;BGC;BRAGANCA;ACORES;4.73;Januar
13.07;-59.49;BGI;BRIDGETOWN;BARBADOS;26.12;Januar
51.2;6.13;BGN;BRUEGGEN;GERMANY;3.41;Januar
60.29;5.22;BGO;BERGEN;NORWAY;2.5;Januar
44.81;-68.83;BGR;BANGOR;USA;-7.23;Januar
4.78;22.78;BGU;BANGASSOU;CENTRAL AFRICAN REP.;24.84;Januar
-31.39;-54.11;BGX;BAGE;BRAZIL;23.8;Januar
54.62;-5.87;BHD;BELFAST;NORTH IRELAND;4.81;Januar
19.98;42.62;BHH;BISHA;SAUDI ARABIA;17.85;Januar
-38.73;-62.17;BHI;BAHIA BLANCA;ARGENTINA;23.55;Januar
23.29;69.67;BHJ;BHUJ;INDIA;19.31;Januar
39.78;64.48;BHK;BUKHARA;RUSSIA;1.81;Januar
33.56;-86.75;BHM;BIRMINGHAM;USA;6.87;Januar
23.29;77.34;BHO;BHOPAL;INDIA;17.52;Januar
21.75;72.19;BHU;BHAUNAGAR;INDIA;23.65;Januar
52.45;-1.75;BHX;BIRMINGHAM;ENGLAND;4.65;Januar
63.99;-145.72;BIG;DELTA JUNCTION;USA;-17.07;Januar
-1.19;136.11;BIK;BIAK;INDONESIA;27.01;Januar
44.77;-79.26;BIM;ALICE TOWN;BAHAMAS;-7.74;Januar
43.3;-2.91;BIO;BILBAO;SPAIN;9.51;Januar
43.47;-1.52;BIQ;BIARRITZ-BAYONNE;FRANCE;9.31;Januar
6.53;21.99;BIV;BRIA;CENTRAL AFRICAN REP.;23.74;Januar
30.41;-88.92;BIX;BILOXI;USA;11.12;Januar
70.6;29.69;BJF;BATSFJORD;NORWAY;-5;Januar
13.34;-16.65;BJL;BANJUL;GAMBIA;24.18;Januar
-3.32;29.32;BJM;BUJUMBURA;BURUNDI;23.88;Januar
-22.77;-64.32;BJO;BERMEJO;BOLIVIA;26.47;Januar
20.99;-101.48;BJX;DEL BAJIO;MEXICO;14.55;Januar
38.89;-6.82;BJZ;BADAJOZ;SPAIN;8.83;Januar
39.7;-104.75;BKF;BUCKLEY;USA;-0.4;Januar
22.02;-159.79;BKH;BARKING SANDS;USA;22.77;Januar
5.94;116.05;BKI;KOTA KINABALU;MALAYSIA;26.85;Januar
13.91;100.61;BKK;BANGKOK;THAILAND;27.24;Januar
12.53;-7.95;BKO;BAMAKO;MALI;25.04;Januar
-3.86;102.34;BKS;BENGKULU;INDONESIA;26.61;Januar
10.11;-64.69;BLA;BARCELONA;VENEZUELA;26.6;Januar
60.42;15.52;BLE;BORLANGE;SWEDEN;-4.54;Januar
48.79;-122.54;BLI;BELLINGHAM;USA;3.25;Januar
53.77;-3.03;BLK;BLACKPOOL;ENGLAND;4.66;Januar
55.74;9.15;BLL;BILLUND;DENMARK;1.83;Januar
55.7;9.19;BLL;BILLUND;DENMARK;1.83;Januar
38.55;-89.84;BLV;BELLEVILLE;USA;0.14;Januar
-15.68;34.97;BLZ;BLANTYRE;MALAWI;24.6;Januar
59.35;17.94;BMA;STOCKHOLM;SWEDEN;-1.14;Januar
2.08;11.49;BMM;BITAM;GABON;24.87;Januar
-8.54;118.69;BMU;BIMA;INDONESIA;27.62;Januar
36.12;-86.68;BNA;NASHVILLE;USA;4;Januar
27.22;56.38;BND;BANDAR ABBAS;IRAN;17.81;Januar
-27.38;153.12;BNE;BRISBANE;AUSTRALIA;25.13;Januar
65.46;12.21;BNN;BRONNOYSUND;NORWAY;-2.1;Januar
8.62;-70.22;BNS;BARINAS;VENEZUELA;27.81;Januar
-16.44;-151.75;BOB;BORA BORA;FRENCH POLYNESIA;27.94;Januar
44.83;-0.72;BOD;BORDEAUX;FRANCE;6.67;Januar
4.7;-74.15;BOG;BOGOTA;COLOMBIA;13.21;Januar
50.78;-1.84;BOH;BOURNEMOUTH;ENGLAND;5.51;Januar
43.56;-116.22;BOI;BOISE;USA;0.06;Januar
12.13;-68.27;BON;KRALENDIJK;ANTILLES;26.68;Januar
67.27;14.36;BOO;BODOE;NORWAY;-0.57;Januar
5.96;15.64;BOP;BOUAR;CENTRAL AFRICAN REP.;23.95;Januar
42.36;-71.01;BOS;BOSTON;USA;-0.99;Januar
-1.27;116.89;BPN;BALIKPAPAN;INDONESIA;27.11;Januar
29.95;-94.02;BPT;BEAUMONT;USA;13.08;Januar
51.33;0.03;BQH;BIGGIN HILL;ENGLAND;5.12;Januar
50.42;127.41;BQS;BLAGOVESCHENSK;RUSSIA;-21.19;Januar
-41.15;-71.16;BRC;SAN CARLOS DE BARILOCH;ARGENTINA;15.28;Januar
53.05;8.79;BRE;BREMEN;GERMANY;2.23;Januar
10.04;-69.36;BRM;BARQUISIMETO;VENEZUELA;23.73;Januar
25.91;-97.43;BRO;BROWNSVILLE;USA;16.52;Januar
49.15;16.69;BRQ;TURANY;CZECH REPUBLIC;-0.95;Januar
51.38;-2.72;BRS;BRISTOL;ENGLAND;4.77;Januar
53.5;8.57;BRV;BREMERHAVEN;GERMANY;2.52;Januar
71.29;-156.77;BRW;BARROW;USA;-24.08;Januar
18.25;-71.12;BRX;BARAHONA;DOMINICAN REPUBLIC;26.69;Januar
-15.86;-47.91;BSB;BRASILIA;BRAZIL;22.14;Januar
1.91;9.81;BSG;BATA;EQUATORIAL GUINEA;27.86;Januar
34.79;5.74;BSK;BISKRA;ALGERIA;11.84;Januar
30.55;47.66;BSR;BASRAH;IRAQ;14.23;Januar
1.12;104.12;BTH;BATAM;INDONESIA;26.85;Januar
70.13;-143.58;BTI;BARTER ISLAND;USA;-23.21;Januar
5.52;95.42;BTJ;BANDA ACEH;INDONESIA;8.07;Januar
48.17;17.21;BTS;BRATISLAVA;SLOVAKIA;0.04;Januar
66.92;-151.53;BTT;BETTLES;USA;-23.2;Januar
3.17;113.04;BTU;BINTULU;MALAYSIA;26.29;Januar
44.47;-73.15;BTV;BURLINGTON;USA;-6.57;Januar
40.23;29.01;BTZ;BURSA;TURKEY;5.65;Januar
47.44;19.26;BUD;BUDAPEST;HUNGARY;-0.04;Januar
42.94;-78.73;BUF;BUFFALO;USA;-3.45;Januar
-20.02;28.62;BUQ;BULAWAYO;ZIMBABWE;22.05;Januar
34.2;-118.36;BUR;BURBANK;USA;13.67;Januar
49.45;2.11;BVA;BEAUVAIS;FRANCE;4.53;Januar
2.85;-60.69;BVB;BOA VISTA;BRAZIL;28.3;Januar
27.51;83.42;BWA;BHAIRAWA;NEPAL;12.83;Januar
52.32;10.56;BWE;BRAUNSCHWEIG;GERMANY;1.77;Januar
54.13;-3.26;BWF;BARROW ISLAND;ENGLAND;3.7;Januar
39.18;-76.67;BWI;BALTIMORE;USA;1.27;Januar
4.95;114.93;BWN;BRUNEI;BRUNEI;27.07;Januar
-33.92;150.99;BWU;SYDNEY;AUSTRALIA;22.8;Januar
35.96;-89.94;BYH;BLYTHEVILLE;USA;4.34;Januar
7.74;-5.07;BYK;BOUAKE;IVORY COAST;27.18;Januar
35.28;-116.63;BYS;FORT IRWIN;USA;8.05;Januar
49.98;11.64;BYU;BAYREUTH;GERMANY;-0.03;Januar
17.54;-88.31;BZE;BELIZE CITY;BELIZE;24.24;Januar
39.62;27.93;BZI;BALIKESIR;TURKEY;4.68;Januar
46.46;11.33;BZO;BOLZANO;ITALY;0.43;Januar
-4.25;15.25;BZV;BRAZZAVILLE;CONGO;26.17;Januar
51.75;-1.58;BZZ;BRIZE NORTON;ENGLAND;4.37;Januar
33.94;-81.12;CAE;COLOMBIA;USA;7.76;Januar
39.25;9.05;CAG;CAGLIARI;ITALY;9.99;Januar
30.12;31.41;CAI;CAIRO;EGYPT;14.2;Januar
-20.01;-63.53;CAM;CAMIRI;BOLIVIA;26.08;Januar
23.18;113.27;CAN;GUANGZHOU;CHINA;13.96;Januar
46.87;-68.02;CAR;CARIBOU;USA;-11.25;Januar
33.55;-7.66;CAS;CASABLANCA;MOROCCO;13.08;Januar
54.94;-2.81;CAX;CARLISLE;ENGLAND;3.58;Januar
-17.42;-66.18;CBB;COCHABAMBA;BOLIVIA;18.87;Januar
52.21;0.18;CBG;CAMBRIDGE;ENGLAND;4.47;Januar
8.12;-63.54;CBL;CIUDAD BOLIVAR;VENEZUELA;26.69;Januar
33.64;-88.44;CBM;COLOMBUS;USA;6.69;Januar
-6.76;108.54;CBN;CIREBON;INDONESIA;26.82;Januar
-35.31;149.19;CBR;CANBERRA;AUSTRALIA;21.24;Januar
11.14;75.96;CCJ;CALICUT;INDIA;27.89;Januar
-36.77;-73.06;CCP;CONCEPCION;CHILE;16.76;Januar
22.66;88.45;CCU;CALCUTTA;INDIA;18.62;Januar
55.21;-162.72;CDB;COLD BAY;USA;-1.89;Januar
-8.35;-49.3;CDJ;CONCEICAO DO ARAGUAIA;BRAZIL;26.36;Januar
-34.04;150.69;CDU;CAMDEN;AUSTRALIA;22;Januar
60.49;-145.48;CDV;CORDOVA;USA;-2.27;Januar
53.18;-2.98;CEG;HAWARDEN;ENGLAND;5.31;Januar
55.3;61.51;CEK;CHELYABINSK;RUSSIA;-13.66;Januar
27.39;-109.83;CEN;CIUDAD OBREGON;MEXICO;18.94;Januar
-16.14;-62.03;CEP;CONCEPTION;BOLIVIA;25.71;Januar
49.65;-1.47;CER;CHERBOURG;FRANCE;6.82;Januar
30.78;-86.52;CEW;CRESTVIEW;USA;10.09;Januar
30.72;-96.33;CFD;BRYAN;USA;11.01;Januar
22.15;-80.41;CFG;CIENFUEGOS;CUBA;22.1;Januar
49.17;-0.45;CFR;CAEN;FRANCE;5.5;Januar
-30.32;153.12;CFS;COFF'S HARBOUR;AUSTRALIA;23.59;Januar
39.6;19.91;CFU;KERKYRA/CORFU;GREECE;9.89;Januar
-15.65;-56.12;CGB;CUIABA;BRAZIL;27.17;Januar
-23.63;-46.66;CGH;SAO PAULO;BRAZIL;23.08;Januar
-6.13;106.66;CGK;JAKARTA;INDONESIA;26.86;Januar
50.87;7.14;CGN;COLOGNE;GERMANY;3.04;Januar
34.52;113.84;CGO;ZHENGZHOU;CHINA;1.01;Januar
22.25;91.81;CGP;CHITTAGONG;BANGLADESH;20;Januar
-20.47;-54.67;CGR;CAMPO GRANDE;BRAZIL;25.14;Januar
8.41;124.61;CGY;LADAG;PHILIPPINES;26.67;Januar
35.04;-85.2;CHA;CHATTANOOGA;USA;5.28;Januar
-43.49;172.53;CHC;CHRISTCHURCH;NEW ZEALAND;16.73;Januar
-6.2;-77.86;CHH;CHACHAPOYAS;PERU;14.62;Januar
-9.15;-78.52;CHM;CHIMBOTE;PERU;22.8;Januar
35.53;24.15;CHQ;CHANIA;GREECE;11.1;Januar
46.86;1.73;CHR;CHATEAUROUX;FRANCE;4.5;Januar
-43.81;-176.46;CHT;CHATHAM ISLAND;NEW ZEALAND;14.82;Januar
-11.04;-68.78;CIJ;COBIJA;BOLIVIA;26.6;Januar
-6.79;-79.83;CIX;CHICLAYO;PERU;24.25;Januar
11.03;77.04;CJB;COIMBATORE;INDIA;24.75;Januar
31.64;-106.43;CJS;CIUDAD JUAREZ;MEXICO;7.92;Januar
33.51;126.49;CJU;CHEJU;KOREA;6.08;Januar
29.72;106.64;CKG;CHONGQING;CHINA;7.96;Januar
41.41;-81.85;CLE;CLEVELAND;USA;-1.87;Januar
52.76;1.36;CLF;COLTISHALL;ENGLAND;5.05;Januar
46.79;23.69;CLJ;CLUJ-NAPOCA;ROMANIA;-2.36;Januar
30.59;-96.36;CLL;COLLEGE STATION;USA;11.01;Januar
-7.32;-47.46;CLN;CAROLINA;BRAZIL;26.12;Januar
3.54;-76.38;CLO;CALI;COLOMBIA;23.82;Januar
19.28;-103.58;CLQ;COLIMA;MEXICO;22.92;Januar
35.21;-80.94;CLT;CHARLOTTE;USA;5.61;Januar
7.18;79.88;CMB;COLOMBO;SRI LANKA;27.07;Januar
-19.01;-57.67;CMG;CORUMBA;BRAZIL;28.36;Januar
33.37;-7.59;CMN;CASABLANCA;MOROCCO;11.48;Januar
21.42;-77.85;CMW;CAMAGUEY;CUBA;22.58;Januar
-19.63;-43.97;CNF;BELO HORIZONTE;BRAZIL;24.2;Januar
-19.66;-43.9;CNF;BELO HORIZONTE;BRAZIL;24.2;Januar
45.66;-0.32;CNG;COGNAC;FRANCE;6.36;Januar
32.34;-104.26;CNM;CARLSBAD;USA;6.6;Januar
-27.45;-58.76;CNQ;CORRIENTES;ARGENTINA;27.02;Januar
31.64;-97.07;CNW;WACO;USA;8.77;Januar
28.24;-80.61;COF;COCO BEACH;USA;16.46;Januar
26.33;89.47;COH;COOCH-BEHAR;INDIA;18.8;Januar
6.36;2.38;COO;COTONOU;BENIN;27.84;Januar
-31.32;-64.21;COR;CORDOBA;ARGENTINA;23.45;Januar
38.81;-104.7;COS;COLORADO SPRINGS;USA;-0.53;Januar
28.46;-99.22;COT;COTULLA;USA;13.43;Januar
38.82;-92.22;COU;COLUMBIA;USA;-1;Januar
19.82;-90.5;CPE;CAMPECHE;MEXICO;23.89;Januar
55.62;12.66;CPH;COPENHAGEN;DENMARK;1.7;Januar
42.91;-106.46;CPR;CASPER;USA;-3.52;Januar
-33.97;18.6;CPT;CAPE TOWN;SOUTH AFRICA;21.44;Januar
50.96;1.96;CQF;CALAIS;FRANCE;5.3;Januar
-45.79;-67.47;CRD;COMODORO RIVADAVIA;ARGENTINA;19.72;Januar
50.46;4.45;CRL;CHARLEROI;BELGIUM;2.56;Januar
27.77;-97.5;CRP;CORPUS CHRISTI;USA;15.5;Januar
-17.65;-39.25;CRQ;CARAVELAS;BRAZIL;26.23;Januar
49.25;2.52;CSF;CREIL;FRANCE;4.65;Januar
28.19;113.22;CSX;CHANGCHA;CHINA;5.25;Januar
37.47;15.07;CTA;CATANIA;ITALY;9.87;Januar
48.61;-112.38;CTB;CUTBANK;USA;-4.98;Januar
10.44;-75.51;CTG;CARTAGENA;COLOMBIA;27;Januar
-26.41;146.26;CTL;CHARLIEVILLE;AUSTRALIA;29.02;Januar
18.5;-88.33;CTM;CHETUMAL;MEXICO;24.19;Januar
30.58;103.95;CTU;CHENGDU;CHINA;6.53;Januar
7.93;-72.51;CUC;CUCUTA;COLOMBIA;26.02;Januar
24.76;-107.47;CUL;CULIACAN;MEXICO;20.38;Januar
12.19;-68.96;CUR;WILLEMSTAD;ANTILLES;26.69;Januar
28.7;-105.96;CUU;CHIHUAHUA;MEXICO;10.58;Januar
-13.54;-71.94;CUZ;CUZCO;PERU;13.03;Januar
39.05;-84.66;CVG;CINCINNATI;USA;-0.45;Januar
18.84;-99.26;CVJ;CUERNAVACA;MEXICO;18.98;Januar
23.7;-98.96;CVM;CIUDAD VICTORIA;MEXICO;16.66;Januar
34.38;-103.32;CVS;CLOVIS;USA;2.57;Januar
52.37;-1.48;CVT;COVENTRY;ENGLAND;4.65;Januar
-25.53;-49.18;CWB;CURITIBA;BRAZIL;21.27;Januar
21.45;91.96;CXB;COX'S BAZAR;BANGLADESH;20.26;Januar
1.99;-157.35;CXI;KIRITIMATI;KIRIBATI;26.97;Januar
32.67;-115.51;CXL;CALEXICO;USA;13.18;Januar
30.35;-95.41;CXO;CONROE;USA;10.5;Januar
-7.65;109.03;CXP;CILACAP;INDONESIA;27.56;Januar
-34.46;-57.77;CYR;COLONIA;URUGUAY;24.19;Januar
41.16;-104.81;CYS;CHEYENNE;USA;-1.56;Januar
11.42;-69.68;CZE;CORO;VENEZUELA;27.07;Januar
36.28;6.62;CZL;CONSTANTINE;ALGERIA;6.86;Januar
-7.6;-72.77;CZS;CRUIZIRO DO SUL;BRAZIL;26.29;Januar
32.85;-96.85;DAL;DALLAS;USA;8.57;Januar
33.41;36.52;DAM;DAMASCUS;SYRIA;6.5;Januar
-6.88;39.2;DAR;DAR ES SALAAM;TANZANIA;28.24;Januar
39.9;-84.22;DAY;DAYTON;USA;-2.08;Januar
-32.22;148.58;DBO;DUBBO;AUSTRALIA;25.86;Januar
38.85;-77.04;DCA;WASHINGTON;USA;2.8;Januar
39.35;8.97;DCI;DECIMOMANNU;ITALY;9.76;Januar
47.49;21.62;DEB;DEBRECEN;HUNGARY;-0.82;Januar
28.57;77.1;DEL;DELHI;INDIA;13.46;Januar
39.86;-104.67;DEN;DENVER;USA;-0.26;Januar
